(0, (HighCard [Two; Three; Seven; Ace; King], 253))
(459, (OnePair [Ace; Jack; Ace; Seven; Ten], 505))
(460, (OnePair [Ace; Queen; Six; Eight; Six], 391))
(461, (OnePair [Ace; Ace; Three; Six; Nine], 783))
(462, (OnePair [Ace; Ace; Six; King; Nine], 765))
(463, (OnePair [Ace; Ace; Eight; King; Ten], 784))
(464, (TwoPairs [Two; Two; Six; King; Six], 88))
(465, (TwoPairs [Two; Four; Four; Six; Six], 154))
(466, (TwoPairs [Two; Seven; Seven; Four; Four], 383))
(467, (TwoPairs [Two; Seven; Ten; Two; Seven], 692))
(468, (TwoPairs [Two; Seven; Ace; Two; Seven], 230))
(469, (TwoPairs [Two; Eight; King; Eight; Two], 368))
(470, (TwoPairs [Two; Nine; Four; Two; Nine], 44))
(471, (TwoPairs [Two; Jack; Jack; King; King], 609))
(472, (TwoPairs [Two; Jack; Queen; Queen; Two], 685))
(473, (TwoPairs [Two; Queen; Two; Seven; Seven], 600))
(474, (TwoPairs [Two; King; Jack; King; Two], 677))
(475, (TwoPairs [Three; Three; Eight; Five; Eight], 959))
(476, (TwoPairs [Three; Three; Jack; Ten; Ten], 95))
(477, (TwoPairs [Three; Four; Three; Ace; Ace], 71))
(478, (TwoPairs [Three; Four; Six; Four; Three], 818))
(479, (TwoPairs [Three; Seven; Three; Six; Seven], 343))
(480, (TwoPairs [Three; Seven; Jack; Jack; Three], 418))
(481, (TwoPairs [Three; Eight; Three; Four; Four], 999))
(482, (TwoPairs [Three; Eight; Three; Queen; Queen], 120))
(483, (TwoPairs [Three; Jack; Five; Five; Three], 221))
(484, (TwoPairs [Three; Jack; Ace; Three; Ace], 21))
(485, (TwoPairs [Three; Queen; Six; Six; Queen], 87))
(486, (TwoPairs [Four; Two; Two; Five; Five], 503))
(487, (TwoPairs [Four; Two; Nine; Four; Nine], 507))
(488, (TwoPairs [Four; Four; King; King; Jack], 1000))
(489, (TwoPairs [Four; Five; Four; Jack; Five], 423))
(490, (TwoPairs [Four; Eight; Eight; Four; Seven], 116))
(491, (TwoPairs [Four; Eight; Nine; Four; Eight], 223))
(492, (TwoPairs [Four; Ten; Four; Five; Five], 653))
(493, (TwoPairs [Four; Ten; Four; Jack; Jack], 549))
(494, (TwoPairs [Four; Ten; Ten; Two; Four], 788))
(495, (TwoPairs [Four; Ten; Ten; Four; Five], 922))
(496, (TwoPairs [Four; Ten; Ten; Queen; Four], 430))
(497, (TwoPairs [Four; Ten; Queen; Queen; Four], 425))
(498, (TwoPairs [Four; Jack; Jack; Four; Six], 779))
(499, (TwoPairs [Four; Jack; Jack; Seven; Seven], 327))
(500, (TwoPairs [Four; Queen; Queen; Four; Ace], 858))
(501, (TwoPairs [Four; Queen; Queen; Jack; Four], 151))
(502, (TwoPairs [Four; Ace; Two; Four; Two], 431))
(503, (TwoPairs [Four; Ace; Four; Nine; Nine], 717))
(504, (TwoPairs [Five; Five; Ace; Eight; Eight], 637))
(505, (TwoPairs [Five; Five; Ace; Nine; Ace], 966))
(506, (TwoPairs [Five; Six; Six; Nine; Nine], 131))
(507, (TwoPairs [Five; Seven; Four; Five; Seven], 84))
(508, (TwoPairs [Five; Seven; Nine; Seven; Five], 861))
(509, (TwoPairs [Five; Seven; Jack; Seven; Jack], 328))
(510, (TwoPairs [Five; Nine; Three; Nine; Three], 56))
(511, (TwoPairs [Five; Nine; Nine; Five; Three], 915))
(512, (TwoPairs [Five; Nine; Jack; Five; Jack], 185))
(513, (TwoPairs [Five; Ten; Five; Seven; Ten], 986))
(514, (TwoPairs [Five; Ten; Ten; Five; Jack], 20))
(515, (TwoPairs [Five; Jack; Five; Eight; Eight], 559))
(516, (TwoPairs [Five; Jack; Five; Nine; Nine], 416))
(517, (TwoPairs [Five; Jack; Six; Five; Six], 315))
(518, (TwoPairs [Five; Queen; Five; Two; Two], 229))
(519, (TwoPairs [Five; King; Six; Five; Six], 293))
(520, (TwoPairs [Five; King; Seven; King; Seven], 83))
(521, (TwoPairs [Six; Three; Six; Four; Three], 344))
(522, (TwoPairs [Six; Three; Eight; Six; Three], 947))
(523, (TwoPairs [Six; Three; Jack; Six; Jack], 54))
(524, (TwoPairs [Six; Three; Ace; Six; Ace], 983))
(525, (TwoPairs [Six; Four; Six; Four; Queen], 297))
(526, (TwoPairs [Six; Six; Seven; Jack; Jack], 910))
(527, (TwoPairs [Six; Six; Jack; Three; Three], 636))
(528, (TwoPairs [Six; Seven; Six; Seven; Ten], 81))
(529, (TwoPairs [Six; Eight; Three; Eight; Three], 923))
(530, (TwoPairs [Six; Ten; Ace; Ace; Ten], 728))
(531, (TwoPairs [Six; Jack; King; King; Jack], 146))
(532, (TwoPairs [Six; King; Three; King; Six], 689))
(533, (TwoPairs [Six; King; Four; Four; Six], 29))
(534, (TwoPairs [Seven; Two; Two; Jack; Jack], 955))
(535, (TwoPairs [Seven; Three; Three; Eight; Eight], 169))
(536, (TwoPairs [Seven; Four; Four; King; Seven], 683))
(537, (TwoPairs [Seven; Six; Six; Four; Four], 394))
(538, (TwoPairs [Seven; Seven; Two; Two; Nine], 96))
(539, (TwoPairs [Seven; Seven; Ace; Five; Five], 62))
(540, (TwoPairs [Seven; Eight; Four; Eight; Seven], 478))
(541, (TwoPairs [Seven; Eight; Seven; Ace; Ace], 902))
(542, (TwoPairs [Seven; Eight; Queen; Seven; Eight], 130))
(543, (TwoPairs [Seven; Nine; Three; Seven; Nine], 89))
(544, (TwoPairs [Seven; Nine; Nine; Two; Two], 570))
(545, (TwoPairs [Seven; Queen; Queen; Two; Seven], 764))
(546, (TwoPairs [Seven; King; Seven; Two; Two], 362))
(547, (TwoPairs [Seven; Ace; Seven; Four; Four], 385))
(548, (TwoPairs [Seven; Ace; Seven; Ace; Jack], 402))
(549, (TwoPairs [Eight; Two; Two; Ace; Eight], 592))
(550, (TwoPairs [Eight; Two; Four; Four; Eight], 222))
(551, (TwoPairs [Eight; Two; Queen; Two; Queen], 792))
(552, (TwoPairs [Eight; Three; Eight; Four; Three], 384))
(553, (TwoPairs [Eight; Three; Eight; Jack; Three], 117))
(554, (TwoPairs [Eight; Five; Five; Eight; Seven], 596))
(555, (TwoPairs [Eight; Five; Eight; King; King], 357))
(556, (TwoPairs [Eight; Eight; Five; Two; Two], 480))
(557, (TwoPairs [Eight; Nine; Eight; Nine; Six], 904))
(558, (TwoPairs [Eight; Nine; Nine; Eight; Jack], 855))
(559, (TwoPairs [Eight; Jack; Eight; Five; Jack], 469))
(560, (TwoPairs [Eight; Jack; Jack; Four; Four], 345))
(561, (TwoPairs [Eight; Jack; Jack; Eight; Ten], 123))
(562, (TwoPairs [Eight; King; Ace; King; Eight], 429))
(563, (TwoPairs [Eight; Ace; Five; Eight; Ace], 442))
(564, (TwoPairs [Eight; Ace; Five; Ace; Five], 930))
(565, (TwoPairs [Nine; Two; Two; Nine; Three], 74))
(566, (TwoPairs [Nine; Two; Jack; Nine; Two], 172))
(567, (TwoPairs [Nine; Six; Nine; Five; Five], 249))
(568, (TwoPairs [Nine; Six; Jack; Nine; Six], 678))
(569, (TwoPairs [Nine; Seven; Nine; Seven; Ten], 286))
(570, (TwoPairs [Nine; Nine; King; Two; Two], 483))
(571, (TwoPairs [Nine; Nine; Ace; Seven; Ace], 803))
(572, (TwoPairs [Nine; Ten; Jack; Ten; Nine], 226))
(573, (TwoPairs [Nine; Jack; Jack; Two; Two], 648))
(574, (TwoPairs [Nine; Queen; Ace; Nine; Ace], 759))
(575, (TwoPairs [Nine; Ace; Nine; Two; Ace], 351))
(576, (TwoPairs [Nine; Ace; Ace; Jack; Nine], 444))
(577, (TwoPairs [Ten; Three; Nine; Nine; Three], 931))
(578, (TwoPairs [Ten; Five; King; King; Ten], 874))
(579, (TwoPairs [Ten; Six; Six; Ten; Jack], 382))
(580, (TwoPairs [Ten; Six; Ten; Queen; Six], 97))
(581, (TwoPairs [Ten; Seven; Ten; Seven; Queen], 568))
(582, (TwoPairs [Ten; Nine; Eight; Eight; Ten], 262))
(583, (TwoPairs [Ten; Ten; Two; Jack; Two], 150))
(584, (TwoPairs [Ten; Ten; Eight; Jack; Eight], 984))
(585, (TwoPairs [Ten; Ten; Nine; Jack; Jack], 618))
(586, (TwoPairs [Ten; Jack; King; King; Ten], 302))
(587, (TwoPairs [Ten; Queen; Ten; Jack; Queen], 591))
(588, (TwoPairs [Ten; Queen; Queen; Ten; Six], 5))
(589, (TwoPairs [Ten; King; Four; Ten; King], 15))
(590, (TwoPairs [Jack; Two; Three; Two; Three], 263))
(591, (TwoPairs [Jack; Two; Seven; Two; Seven], 734))
(592, (TwoPairs [Jack; Three; Queen; Jack; Queen], 753))
(593, (TwoPairs [Jack; Four; Four; Eight; Eight], 413))
(594, (TwoPairs [Jack; Seven; Seven; Ten; Ten], 872))
(595, (TwoPairs [Jack; Seven; Jack; Queen; Queen], 298))
(596, (TwoPairs [Jack; Eight; Jack; Four; Eight], 815))
(597, (TwoPairs [Jack; Eight; Ace; Eight; Ace], 973))
(598, (TwoPairs [Jack; Nine; Nine; Two; Jack], 133))
(599, (TwoPairs [Jack; Ten; Ace; Ace; Ten], 539))
(600, (TwoPairs [Jack; Jack; Three; Four; Three], 218))
(601, (TwoPairs [Jack; Jack; Five; King; Five], 941))
(602, (TwoPairs [Jack; Jack; Seven; Three; Seven], 493))
(603, (TwoPairs [Jack; Jack; Ace; Nine; Nine], 573))
(604, (TwoPairs [Jack; Queen; Three; Three; Queen], 291))
(605, (TwoPairs [Jack; Queen; Jack; Queen; Four], 574))
(606, (TwoPairs [Jack; Queen; Queen; Seven; Seven], 110))
(607, (TwoPairs [Jack; King; King; Three; Three], 509))
(608, (TwoPairs [Jack; Ace; Jack; Five; Five], 854))
(609, (TwoPairs [Queen; Two; Nine; Two; Queen], 511))
(610, (TwoPairs [Queen; Two; Nine; Nine; Queen], 976))
(611, (TwoPairs [Queen; Three; Queen; Ace; Three], 494))
(612, (TwoPairs [Queen; Three; King; Queen; Three], 371))
(613, (TwoPairs [Queen; Five; Six; Five; Six], 379))
(614, (TwoPairs [Queen; Six; Ten; Six; Queen], 499))
(615, (TwoPairs [Queen; Six; Queen; Six; Jack], 599))
(616, (TwoPairs [Queen; Eight; Ten; Eight; Queen], 457))
(617, (TwoPairs [Queen; Nine; Two; Two; Nine], 948))
(618, (TwoPairs [Queen; Nine; Queen; King; Nine], 404))
(619, (TwoPairs [Queen; Ten; Ace; Ace; Ten], 314))
(620, (TwoPairs [Queen; Queen; Ten; Ten; Eight], 968))
(621, (TwoPairs [Queen; King; King; Queen; Two], 721))
(622, (TwoPairs [Queen; King; King; Queen; Ten], 583))
(623, (TwoPairs [King; Two; King; Two; Six], 800))
(624, (TwoPairs [King; Three; Three; Nine; Nine], 822))
(625, (TwoPairs [King; Four; Four; King; Nine], 695))
(626, (TwoPairs [King; Four; Eight; Four; Eight], 888))
(627, (TwoPairs [King; Six; Ten; Six; King], 171))
(628, (TwoPairs [King; Seven; Eight; King; Eight], 942))
(629, (TwoPairs [King; Eight; Nine; King; Nine], 458))
(630, (TwoPairs [King; Nine; King; Jack; Nine], 987))
(631, (TwoPairs [King; King; Five; Five; Queen], 37))
(632, (TwoPairs [Ace; Three; King; Ace; King], 381))
(633, (TwoPairs [Ace; Four; Jack; Jack; Four], 807))
(634, (TwoPairs [Ace; Five; King; Ace; Five], 865))
(635, (TwoPairs [Ace; Five; Ace; Five; Jack], 639))
(636, (TwoPairs [Ace; Six; Nine; Six; Ace], 561))
(637, (TwoPairs [Ace; Seven; Seven; Three; Ace], 918))
(638, (TwoPairs [Ace; Eight; Two; Eight; Ace], 165))
(639, (TwoPairs [Ace; Jack; Ace; Two; Two], 515))
(640, (TwoPairs [Ace; Queen; Seven; Ace; Queen], 4))
(641, (TwoPairs [Ace; King; Four; Four; King], 317))
(642, (TwoPairs [Ace; King; Queen; Ace; Queen], 490))
(643, (TwoPairs [Ace; Ace; Six; Nine; Nine], 641))
(644, (TwoPairs [Ace; Ace; Ten; Ten; Four], 47))
(645, (TwoPairs [Ace; Ace; Ten; Queen; Queen], 24))
(646, (TwoPairs [Ace; Ace; Jack; King; King], 472))
(647, (TwoPairs [Ace; Ace; Queen; Jack; Jack], 67))
(648, (TwoPairs [Ace; Ace; Queen; Jack; Queen], 316))
(649, (ThreeOfAKind [Two; Two; Two; King; Eight], 607))
(650, (ThreeOfAKind [Two; Two; Seven; Two; Ten], 755))
(651, (ThreeOfAKind [Two; Three; Jack; Two; Two], 878))
(652, (ThreeOfAKind [Two; Four; Two; Jack; Two], 45))
(653, (ThreeOfAKind [Two; Six; Seven; Six; Six], 703))
(654, (ThreeOfAKind [Two; Nine; Nine; Five; Nine], 580))
(655, (ThreeOfAKind [Two; Ten; Ten; Ten; Nine], 49))
(656, (ThreeOfAKind [Two; Jack; Two; Two; Five], 474))
(657, (ThreeOfAKind [Two; Queen; Two; Two; Ace], 396))
(658, (ThreeOfAKind [Two; Queen; Queen; Ten; Queen], 178))
(659, (ThreeOfAKind [Two; King; Eight; Eight; Eight], 437))
(660, (ThreeOfAKind [Two; King; Eight; King; King], 191))
(661, (ThreeOfAKind [Two; Ace; Ace; Eight; Ace], 881))
(662, (ThreeOfAKind [Three; Three; Three; Ten; Eight], 411))
(663, (ThreeOfAKind [Three; Three; Four; Nine; Three], 819))
(664, (ThreeOfAKind [Three; Three; Jack; Three; Two], 339))
(665, (ThreeOfAKind [Three; Four; Three; Three; Queen], 57))
(666, (ThreeOfAKind [Three; Four; Ten; Ten; Ten], 829))
(667, (ThreeOfAKind [Three; Five; Three; Three; Jack], 593))
(668, (ThreeOfAKind [Three; Five; Jack; Five; Five], 642))
(669, (ThreeOfAKind [Three; Six; Six; Six; Seven], 453))
(670, (ThreeOfAKind [Three; Seven; Jack; Three; Three], 495))
(671, (ThreeOfAKind [Three; Eight; Eight; Ace; Eight], 611))
(672, (ThreeOfAKind [Three; Nine; Queen; Nine; Nine], 142))
(673, (ThreeOfAKind [Three; Ten; Ten; Jack; Ten], 565))
(674, (ThreeOfAKind [Three; King; King; Two; King], 527))
(675, (ThreeOfAKind [Three; Ace; Ten; Ten; Ten], 745))
(676, (ThreeOfAKind [Four; Four; Four; Three; Jack], 929))
(677, (ThreeOfAKind [Four; Four; Ten; Four; Three], 208))
(678, (ThreeOfAKind [Four; Four; Jack; Two; Four], 214))
(679, (ThreeOfAKind [Four; Four; King; Ace; Four], 247))
(680, (ThreeOfAKind [Four; Five; Ten; Five; Five], 200))
(681, (ThreeOfAKind [Four; Jack; Jack; Six; Jack], 428))
(682, (ThreeOfAKind [Four; King; Queen; Queen; Queen], 389))
(683, (ThreeOfAKind [Five; Five; Three; Five; Queen], 224))
(684, (ThreeOfAKind [Five; Five; Five; Four; Two], 35))
(685, (ThreeOfAKind [Five; Five; Five; Jack; Four], 687))
(686, (ThreeOfAKind [Five; Five; Five; Ace; Six], 136))
(687, (ThreeOfAKind [Five; Five; Eight; Five; Jack], 52))
(688, (ThreeOfAKind [Five; Five; King; Five; Nine], 796))
(689, (ThreeOfAKind [Five; Six; Ten; Ten; Ten], 625))
(690, (ThreeOfAKind [Five; Seven; Five; Five; Jack], 793))
(691, (ThreeOfAKind [Five; Eight; Two; Five; Five], 825))
(692, (ThreeOfAKind [Five; Ten; King; King; King], 735))
(693, (ThreeOfAKind [Five; Queen; Four; Five; Five], 619))
(694, (ThreeOfAKind [Five; King; Five; Five; Two], 969))
(695, (ThreeOfAKind [Five; King; Five; Five; Three], 466))
(696, (ThreeOfAKind [Five; King; King; Three; King], 535))
(697, (ThreeOfAKind [Five; Ace; Four; Four; Four], 271))
(698, (ThreeOfAKind [Five; Ace; Five; Five; Queen], 584))
(699, (ThreeOfAKind [Six; Four; Four; Four; King], 722))
(700, (ThreeOfAKind [Six; Four; Nine; Six; Six], 827))
(701, (ThreeOfAKind [Six; Five; Two; Two; Two], 777))
(702, (ThreeOfAKind [Six; Six; Six; King; Seven], 370))
(703, (ThreeOfAKind [Six; Six; Jack; Nine; Six], 894))
(704, (ThreeOfAKind [Six; Six; Queen; Six; Four], 688))
(705, (ThreeOfAKind [Six; Six; King; Six; Three], 19))
(706, (ThreeOfAKind [Six; Seven; Queen; Seven; Seven], 631))
(707, (ThreeOfAKind [Six; Jack; Eight; Six; Six], 813))
(708, (ThreeOfAKind [Six; Queen; Queen; Jack; Queen], 33))
(709, (ThreeOfAKind [Six; Queen; Queen; Queen; King], 943))
(710, (ThreeOfAKind [Six; King; Six; Four; Six], 92))
(711, (ThreeOfAKind [Six; King; Six; Eight; Six], 975))
(712, (ThreeOfAKind [Six; Ace; Jack; Ace; Ace], 496))
(713, (ThreeOfAKind [Seven; Two; Nine; Nine; Nine], 847))
(714, (ThreeOfAKind [Seven; Three; Seven; Eight; Seven], 504))
(715, (ThreeOfAKind [Seven; Four; Six; Six; Six], 181))
(716, (ThreeOfAKind [Seven; Four; Seven; Seven; Two], 962))
(717, (ThreeOfAKind [Seven; Six; Six; Jack; Six], 196))
(718, (ThreeOfAKind [Seven; Eight; Seven; Seven; Four], 965))
(719, (ThreeOfAKind [Seven; Nine; Seven; Seven; Jack], 990))
(720, (ThreeOfAKind [Seven; Jack; Three; Jack; Jack], 836))
(721, (ThreeOfAKind [Seven; Jack; Six; Seven; Seven], 376))
(722, (ThreeOfAKind [Seven; Jack; Seven; Three; Seven], 811))
(723, (ThreeOfAKind [Seven; Jack; Jack; Jack; Ace], 882))
(724, (ThreeOfAKind [Seven; Queen; Three; Three; Three], 228))
(725, (ThreeOfAKind [Seven; King; Seven; Seven; Eight], 127))
(726, (ThreeOfAKind [Eight; Two; Eight; Eight; Five], 232))
(727, (ThreeOfAKind [Eight; Four; Four; Four; Jack], 528))
(728, (ThreeOfAKind [Eight; Four; Queen; Four; Four], 553))
(729, (ThreeOfAKind [Eight; Five; Eight; Ace; Eight], 925))
(730, (ThreeOfAKind [Eight; Eight; Three; Four; Eight], 670))
(731, (ThreeOfAKind [Eight; Eight; Five; Eight; Queen], 455))
(732, (ThreeOfAKind [Nine; Three; Ten; Three; Three], 529))
(733, (ThreeOfAKind [Nine; Four; Nine; Three; Nine], 454))
(734, (ThreeOfAKind [Nine; Seven; Eight; Seven; Seven], 526))
(735, (ThreeOfAKind [Nine; Nine; Four; Nine; Eight], 145))
(736, (ThreeOfAKind [Nine; Nine; Nine; Seven; Queen], 828))
(737, (ThreeOfAKind [Nine; Nine; Jack; Nine; Four], 143))
(738, (ThreeOfAKind [Nine; Nine; Jack; Nine; Ten], 884))
(739, (ThreeOfAKind [Nine; Nine; King; Nine; Seven], 358))
(740, (ThreeOfAKind [Nine; Ten; Nine; Nine; Eight], 595))
(741, (ThreeOfAKind [Nine; Jack; Nine; Nine; Seven], 173))
(742, (ThreeOfAKind [Nine; Queen; Queen; Queen; Ace], 712))
(743, (ThreeOfAKind [Nine; King; Nine; Queen; Nine], 497))
(744, (ThreeOfAKind [Nine; King; Nine; Ace; Nine], 3))
(745, (ThreeOfAKind [Nine; King; Jack; King; King], 812))
(746, (ThreeOfAKind [Ten; Three; Three; Three; Jack], 332))
(747, (ThreeOfAKind [Ten; Three; Six; Three; Three], 758))
(748, (ThreeOfAKind [Ten; Three; King; Three; Three], 361))
(749, (ThreeOfAKind [Ten; Six; Nine; Nine; Nine], 392))
(750, (ThreeOfAKind [Ten; Seven; Seven; Five; Seven], 355))
(751, (ThreeOfAKind [Ten; Seven; Seven; Seven; Ace], 6))
(752, (ThreeOfAKind [Ten; Seven; Ace; Ace; Ace], 128))
(753, (ThreeOfAKind [Ten; Ten; Two; Ten; Ace], 998))
(754, (ThreeOfAKind [Ten; Ten; Six; Jack; Ten], 201))
(755, (ThreeOfAKind [Ten; Ten; Eight; Ten; King], 586))
(756, (ThreeOfAKind [Ten; Ten; Jack; Ace; Ten], 682))
(757, (ThreeOfAKind [Ten; Ten; Queen; Eight; Ten], 980))
(758, (ThreeOfAKind [Ten; Ten; King; Ten; Queen], 205))
(759, (ThreeOfAKind [Ten; King; King; King; Eight], 634))
(760, (ThreeOfAKind [Jack; Three; Six; Jack; Jack], 932))
(761, (ThreeOfAKind [Jack; Four; Four; Four; Nine], 627))
(762, (ThreeOfAKind [Jack; Five; Ten; Ten; Ten], 170))
(763, (ThreeOfAKind [Jack; Six; Six; Six; Five], 163))
(764, (ThreeOfAKind [Jack; Seven; Seven; Ten; Seven], 364))
(765, (ThreeOfAKind [Jack; Seven; Ten; Ten; Ten], 260))
(766, (ThreeOfAKind [Jack; Jack; Jack; King; Five], 349))
(767, (ThreeOfAKind [Jack; Queen; King; Queen; Queen], 28))
(768, (ThreeOfAKind [Jack; King; Six; King; King], 338))
(769, (ThreeOfAKind [Jack; King; King; King; Queen], 572))
(770, (ThreeOfAKind [Jack; Ace; Six; Six; Six], 680))
(771, (ThreeOfAKind [Queen; Four; Four; Four; Ace], 750))
(772, (ThreeOfAKind [Queen; Five; King; Queen; Queen], 68))
(773, (ThreeOfAKind [Queen; Six; Six; Six; Five], 846))
(774, (ThreeOfAKind [Queen; Seven; Five; Five; Five], 257))
(775, (ThreeOfAKind [Queen; Seven; Nine; Seven; Seven], 952))
(776, (ThreeOfAKind [Queen; Eight; Five; Queen; Queen], 770))
(777, (ThreeOfAKind [Queen; Eight; Eight; Nine; Eight], 579))
(778, (ThreeOfAKind [Queen; Eight; Queen; Two; Queen], 898))
(779, (ThreeOfAKind [Queen; Nine; Four; Four; Four], 782))
(780, (ThreeOfAKind [Queen; Queen; Ten; Queen; King], 101))
(781, (ThreeOfAKind [Queen; Queen; Queen; Two; Six], 248))
(782, (ThreeOfAKind [Queen; King; King; King; Four], 414))
(783, (ThreeOfAKind [Queen; Ace; Ace; Ace; Jack], 419))
(784, (ThreeOfAKind [King; Two; Queen; Queen; Queen], 791))
(785, (ThreeOfAKind [King; Three; Three; Jack; Three], 514))
(786, (ThreeOfAKind [King; Three; Ten; Ten; Ten], 590))
(787, (ThreeOfAKind [King; Three; King; King; Ace], 235))
(788, (ThreeOfAKind [King; Nine; King; Ace; King], 354))
(789, (ThreeOfAKind [King; King; Two; Jack; King], 32))
(790, (ThreeOfAKind [King; King; Ten; Ace; King], 147))
(791, (ThreeOfAKind [King; King; Jack; Seven; King], 103))
(792, (ThreeOfAKind [King; King; King; Three; Six], 432))
(793, (ThreeOfAKind [King; King; King; Eight; Four], 566))
(794, (ThreeOfAKind [King; Ace; Jack; King; King], 73))
(795, (ThreeOfAKind [Ace; Two; Two; Two; Ten], 132))
(796, (ThreeOfAKind [Ace; Two; King; King; King], 571))
(797, (ThreeOfAKind [Ace; Four; Five; Five; Five], 182))
(798, (ThreeOfAKind [Ace; Four; Ace; Ace; Jack], 660))
(799, (ThreeOfAKind [Ace; Four; Ace; Ace; King], 367))
(800, (ThreeOfAKind [Ace; Six; Six; Six; Five], 926))
(801, (ThreeOfAKind [Ace; Seven; Jack; Ace; Ace], 787))
(802, (ThreeOfAKind [Ace; Jack; Five; Five; Five], 530))
(803, (ThreeOfAKind [Ace; Jack; Queen; Queen; Queen], 996))
(804, (ThreeOfAKind [Ace; Queen; Queen; Queen; Two], 516))
(805, (ThreeOfAKind [Ace; Queen; Ace; Seven; Ace], 877))
(806, (ThreeOfAKind [Ace; King; Seven; Ace; Ace], 810))
(807, (ThreeOfAKind [Ace; Ace; Five; Ace; Eight], 313))
(808, (ThreeOfAKind [Ace; Ace; Nine; Six; Ace], 676))
(809, (ThreeOfAKind [Ace; Ace; Ace; Four; Two], 219))
(810, (FullHouse [Two; Two; Two; Seven; Seven], 560))
(811, (FullHouse [Two; Two; Two; Ace; Ace], 741))
(812, (FullHouse [Two; Eight; Two; Two; Eight], 125))
(813, (FullHouse [Two; Eight; Eight; Eight; Two], 156))
(814, (FullHouse [Two; Ten; Ten; Two; Ten], 12))
(815, (FullHouse [Three; Three; Two; Two; Two], 374))
(816, (FullHouse [Three; Three; Two; Three; Two], 521))
(817, (FullHouse [Three; Three; Three; Nine; Nine], 711))
(818, (FullHouse [Three; Six; Three; Six; Six], 951))
(819, (FullHouse [Three; Seven; Three; Seven; Seven], 281))
(820, (FullHouse [Four; Four; Four; Jack; Jack], 517))
(821, (FullHouse [Four; Four; Six; Four; Six], 303))
(822, (FullHouse [Four; Four; Eight; Four; Eight], 287))
(823, (FullHouse [Five; Four; Four; Four; Five], 189))
(824, (FullHouse [Five; Five; Two; Two; Two], 972))
(825, (FullHouse [Five; Five; Four; Five; Four], 274))
(826, (FullHouse [Five; Five; Five; Two; Two], 236))
(827, (FullHouse [Five; Five; Five; Nine; Nine], 482))
(828, (FullHouse [Five; Five; Five; Ace; Ace], 756))
(829, (FullHouse [Five; Five; Eight; Eight; Eight], 640))
(830, (FullHouse [Five; Five; Nine; Nine; Nine], 522))
(831, (FullHouse [Five; Seven; Seven; Five; Seven], 763))
(832, (FullHouse [Five; Eight; Five; Five; Eight], 53))
(833, (FullHouse [Five; Ten; Five; Ten; Five], 949))
(834, (FullHouse [Five; Ten; Five; Ten; Ten], 50))
(835, (FullHouse [Five; King; Five; King; Five], 751))
(836, (FullHouse [Five; King; Five; King; King], 399))
(837, (FullHouse [Five; Ace; Ace; Ace; Five], 789))
(838, (FullHouse [Six; Two; Two; Two; Six], 415))
(839, (FullHouse [Six; Five; Five; Five; Six], 895))
(840, (FullHouse [Six; Five; Six; Five; Six], 65))
(841, (FullHouse [Six; Six; Four; Four; Six], 821))
(842, (FullHouse [Six; Six; Six; Two; Two], 727))
(843, (FullHouse [Six; Six; Six; Jack; Jack], 742))
(844, (FullHouse [Six; Seven; Six; Six; Seven], 798))
(845, (FullHouse [Six; Eight; Eight; Six; Six], 726))
(846, (FullHouse [Six; Nine; Six; Six; Nine], 835))
(847, (FullHouse [Seven; Two; Seven; Two; Seven], 210))
(848, (FullHouse [Seven; Eight; Seven; Eight; Eight], 353))
(849, (FullHouse [Seven; Ace; Ace; Seven; Ace], 621))
(850, (FullHouse [Eight; Seven; Seven; Seven; Eight], 778))
(851, (FullHouse [Eight; Eight; Ten; Ten; Ten], 388))
(852, (FullHouse [Eight; Eight; Jack; Jack; Eight], 91))
(853, (FullHouse [Eight; Eight; Ace; Ace; Eight], 845))
(854, (FullHouse [Eight; King; Eight; King; King], 693))
(855, (FullHouse [Nine; Four; Nine; Nine; Four], 272))
(856, (FullHouse [Nine; Eight; Eight; Eight; Nine], 325))
(857, (FullHouse [Nine; Nine; Four; Four; Four], 790))
(858, (FullHouse [Nine; Nine; Six; Nine; Six], 769))
(859, (FullHouse [Nine; Nine; Seven; Seven; Seven], 139))
(860, (FullHouse [Nine; Nine; Nine; Two; Two], 76))
(861, (FullHouse [Nine; Nine; Nine; Jack; Jack], 534))
(862, (FullHouse [Ten; Seven; Seven; Ten; Ten], 323))
(863, (FullHouse [Ten; Nine; Nine; Ten; Ten], 714))
(864, (FullHouse [Ten; Ten; Four; Four; Ten], 94))
(865, (FullHouse [Ten; Ten; Seven; Seven; Seven], 513))
(866, (FullHouse [Ten; King; Ten; Ten; King], 890))
(867, (FullHouse [Jack; Five; Five; Jack; Five], 598))
(868, (FullHouse [Jack; Seven; Seven; Jack; Seven], 906))
(869, (FullHouse [Jack; Nine; Jack; Jack; Nine], 662))
(870, (FullHouse [Jack; Jack; Three; Three; Three], 134))
(871, (FullHouse [Jack; Jack; Queen; Queen; Queen], 697))
(872, (FullHouse [Jack; Ace; Jack; Ace; Ace], 227))
(873, (FullHouse [Queen; Two; Two; Queen; Queen], 310))
(874, (FullHouse [Queen; Four; Queen; Four; Four], 840))
(875, (FullHouse [Queen; Four; Queen; Four; Queen], 652))
(876, (FullHouse [Queen; Seven; Queen; Seven; Seven], 985))
(877, (FullHouse [Queen; Nine; Queen; Nine; Queen], 658))
